iter	Passed	Remaining
0	161	160998
1	162	81078
2	164	54677
3	166	41570
4	169	33829
5	172	28595
6	175	24950
7	178	22164
8	182	20041
9	184	18296
10	187	16900
11	190	15695
12	193	14706
13	196	13832
14	199	13088
15	202	12459
16	205	11853
17	206	11282
18	208	10775
19	210	10320
20	212	9910
21	214	9552
22	216	9204
23	218	8879
24	219	8572
25	221	8283
26	222	8015
27	223	7769
28	224	7532
29	226	7312
30	227	7105
31	228	6909
32	229	6722
33	230	6543
34	231	6375
35	232	6215
36	232	6062
37	233	5918
38	234	5781
39	235	5653
40	236	5527
41	237	5408
42	237	5295
43	238	5186
44	239	5083
45	240	4982
46	241	4886
47	241	4795
48	242	4706
49	243	4619
50	243	4536
51	244	4455
52	245	4377
53	245	4303
54	246	4232
55	247	4163
56	247	4097
57	248	4032
58	248	3970
59	249	3910
60	250	3852
61	251	3797
62	251	3743
63	252	3691
64	253	3640
65	253	3591
66	254	3543
67	254	3492
68	255	3448
69	256	3404
70	256	3361
71	257	3319
72	258	3278
73	258	3238
74	259	3200
75	260	3161
76	260	3124
77	261	3089
78	261	3053
79	262	3017
80	263	2984
81	263	2950
82	264	2917
83	264	2885
84	264	2852
85	265	2821
86	265	2789
87	266	2760
88	266	2731
89	267	2702
90	267	2675
91	268	2648
92	268	2622
93	269	2595
94	269	2570
95	270	2545
96	270	2521
97	271	2497
98	271	2474
99	272	2451
100	272	2429
101	273	2405
102	273	2384
103	274	2362
104	274	2342
105	275	2320
106	275	2300
107	276	2280
108	276	2262
109	277	2243
110	277	2224
111	278	2206
112	278	2187
113	279	2170
114	279	2153
115	280	2135
116	280	2118
117	281	2101
118	281	2084
119	282	2068
120	282	2053
121	283	2037
122	283	2020
123	283	2006
124	284	1990
125	284	1976
126	285	1961
127	285	1946
128	286	1932
129	286	1918
130	287	1904
131	287	1891
132	288	1878
133	288	1865
134	289	1852
135	289	1840
136	290	1827
137	290	1814
138	290	1802
139	291	1790
140	291	1778
141	292	1766
142	292	1755
143	293	1743
144	293	1732
145	294	1721
146	294	1710
147	295	1699
148	295	1689
149	296	1678
150	296	1668
151	297	1658
152	297	1648
153	298	1638
154	298	1628
155	299	1618
156	299	1608
157	300	1599
158	300	1590
159	301	1581
160	301	1572
161	302	1562
162	302	1554
163	303	1545
164	303	1536
165	304	1528
166	304	1520
167	305	1512
168	305	1504
169	306	1496
170	306	1488
171	307	1480
172	307	1472
173	308	1464
174	308	1456
175	309	1448
176	309	1441
177	310	1433
178	311	1426
179	311	1419
180	311	1410
181	312	1403
182	312	1397
183	313	1389
184	313	1383
185	314	1376
186	315	1370
187	315	1363
188	316	1356
189	316	1349
190	317	1342
191	317	1336
192	318	1329
193	318	1323
194	319	1316
195	319	1310
196	319	1304
197	320	1297
198	320	1291
199	321	1285
200	321	1279
201	322	1273
202	322	1267
203	323	1262
204	323	1256
205	324	1250
206	325	1245
207	325	1239
208	326	1234
209	326	1228
210	327	1223
211	327	1217
212	328	1211
213	328	1206
214	329	1201
215	329	1196
216	330	1190
217	330	1185
218	330	1180
219	331	1175
220	331	1170
221	332	1165
222	332	1160
223	333	1155
224	333	1150
225	334	1145
226	334	1140
227	335	1136
228	336	1131
229	336	1126
230	337	1122
231	337	1117
232	338	1112
233	338	1108
234	339	1103
235	339	1099
236	340	1095
237	340	1090
238	341	1086
239	341	1081
240	342	1077
241	342	1073
242	343	1069
243	343	1064
244	344	1060
245	344	1056
246	345	1052
247	345	1048
248	346	1044
249	346	1040
250	347	1036
251	347	1032
252	348	1028
253	348	1024
254	349	1020
255	349	1016
256	350	1012
257	350	1009
258	351	1005
259	351	1001
260	352	998
261	352	994
262	353	990
263	354	987
264	354	983
265	355	980
266	355	976
267	356	972
268	356	969
269	357	965
270	357	962
271	358	958
272	358	955
273	359	951
274	359	948
275	360	944
276	360	941
277	361	937
278	361	934
279	362	931
280	362	928
281	363	924
282	363	921
283	364	918
284	364	915
285	365	911
286	365	908
287	366	905
288	366	902
289	367	898
290	367	895
291	368	892
292	368	889
293	369	886
294	369	883
295	370	880
296	370	876
297	371	874
298	371	871
299	371	867
300	372	864
301	372	861
302	373	858
303	373	856
304	374	852
305	374	849
306	375	847
307	375	844
308	376	841
309	376	838
310	377	835
311	377	832
312	378	829
313	378	827
314	379	824
315	379	821
316	380	819
317	380	816
318	381	813
319	381	811
320	382	808
321	382	805
322	383	802
323	383	800
324	384	797
325	384	795
326	385	792
327	385	790
328	386	787
329	386	784
330	387	782
331	387	779
332	388	777
333	388	774
334	389	772
335	389	769
336	390	767
337	390	764
338	391	762
339	391	760
340	392	757
341	392	755
342	393	752
343	393	750
344	394	748
345	394	745
346	394	743
347	395	740
348	395	738
349	396	736
350	396	733
351	397	731
352	397	729
353	398	726
354	398	724
355	399	722
356	399	719
357	400	717
358	400	715
359	401	713
360	401	711
361	402	708
362	402	706
363	403	704
364	403	702
365	404	700
366	404	697
367	405	695
368	405	693
369	406	691
370	406	689
371	407	687
372	407	685
373	408	683
374	408	681
375	409	679
376	409	676
377	410	675
378	410	672
379	411	670
380	411	668
381	412	666
382	412	664
383	413	662
384	413	660
385	414	658
386	414	656
387	415	654
388	415	652
389	416	650
390	416	648
391	417	646
392	417	644
393	418	642
394	418	641
395	419	639
396	419	637
397	419	635
398	420	633
399	421	631
400	421	629
401	421	627
402	422	625
403	422	623
404	423	622
405	423	620
406	424	618
407	424	616
408	425	614
409	425	612
410	426	610
411	426	609
412	427	607
413	427	605
414	428	603
415	428	601
416	429	600
417	429	598
418	430	596
419	430	594
420	431	592
421	431	591
422	432	589
423	432	587
424	433	585
425	433	584
426	433	582
427	434	580
428	434	578
429	435	577
430	435	575
431	436	573
432	436	572
433	437	570
434	437	568
435	438	566
436	438	565
437	439	563
438	439	561
439	440	560
440	440	558
441	441	556
442	441	555
443	442	553
444	442	552
445	443	550
446	443	548
447	444	547
448	444	545
449	445	544
450	445	542
451	446	541
452	446	539
453	447	537
454	447	536
455	448	534
456	448	532
457	449	531
458	449	529
459	450	528
460	450	526
461	451	525
462	451	523
463	452	522
464	452	520
465	453	519
466	453	517
467	454	516
468	454	514
469	455	513
470	455	511
