iter	Passed	Remaining
0	138	138854
1	141	70527
2	142	47448
3	144	35902
4	146	29162
5	150	24992
6	157	22384
7	161	20087
8	169	18618
9	170	16840
10	170	15371
11	173	14246
12	174	13263
13	177	12491
14	178	11720
15	180	11129
16	182	10541
17	184	10044
18	187	9705
19	188	9258
20	190	8879
21	191	8512
22	192	8174
23	193	7858
24	194	7573
25	195	7340
26	197	7099
27	197	6872
28	200	6723
29	202	6545
30	203	6364
31	204	6195
32	206	6045
33	207	5887
34	208	5756
35	209	5622
36	211	5495
37	212	5389
38	215	5298
39	219	5274
40	221	5170
41	223	5107
42	225	5020
43	227	4942
44	229	4860
45	230	4778
46	232	4709
47	234	4658
48	239	4638
49	257	4892
50	258	4812
51	259	4735
52	260	4661
53	261	4584
54	262	4510
55	263	4440
56	264	4370
57	265	4306
58	266	4245
59	267	4190
60	268	4134
61	269	4080
62	270	4027
63	272	3978
64	273	3928
65	273	3876
66	274	3825
67	275	3777
68	277	3738
69	278	3695
70	278	3650
71	279	3605
72	280	3561
73	281	3519
74	282	3483
75	283	3448
76	284	3411
77	285	3373
78	286	3335
79	287	3300
80	288	3269
81	289	3236
82	289	3198
83	290	3167
84	291	3134
85	291	3102
86	292	3073
87	293	3044
88	294	3018
89	295	2989
90	296	2960
91	297	2932
92	298	2907
93	299	2882
94	300	2858
95	301	2834
96	301	2809
97	302	2784
98	303	2759
99	304	2738
100	305	2717
101	306	2695
102	307	2673
103	307	2651
104	308	2630
105	309	2610
106	310	2590
107	311	2570
108	312	2550
109	312	2530
110	313	2510
111	314	2490
112	315	2477
113	316	2463
114	317	2445
115	318	2427
116	319	2408
117	319	2391
118	320	2374
119	321	2359
120	322	2342
121	323	2325
122	323	2309
123	324	2293
124	325	2277
125	326	2263
126	326	2247
127	327	2232
128	328	2216
129	329	2202
130	329	2188
131	330	2174
132	331	2160
133	332	2148
134	333	2134
135	333	2121
136	334	2108
137	335	2094
138	336	2081
139	336	2069
140	337	2057
141	338	2043
142	339	2031
143	339	2019
144	340	2008
145	341	1997
146	342	1987
147	343	1978
148	344	1967
149	345	1956
150	348	1957
151	348	1946
152	349	1935
153	350	1925
154	351	1914
155	352	1904
156	352	1894
157	353	1885
158	354	1875
159	355	1866
160	355	1854
161	356	1845
162	357	1835
163	358	1826
164	359	1818
165	360	1810
166	361	1800
167	361	1791
168	362	1782
169	363	1773
170	363	1764
171	364	1755
172	365	1747
173	366	1738
174	366	1729
175	367	1721
176	368	1713
177	369	1705
178	370	1697
179	371	1690
180	372	1683
181	372	1675
182	373	1667
183	374	1659
184	374	1651
185	375	1644
186	376	1638
187	377	1630
188	378	1623
189	379	1616
190	379	1608
191	380	1601
192	381	1594
193	382	1588
194	383	1581
195	383	1574
196	384	1567
197	385	1560
198	385	1553
199	386	1546
200	387	1540
201	388	1533
202	388	1527
203	389	1520
204	390	1514
205	391	1507
206	391	1501
207	392	1495
208	393	1488
209	394	1482
210	394	1476
211	395	1470
212	396	1464
213	397	1458
214	397	1452
215	398	1446
216	399	1440
217	399	1434
218	400	1428
219	401	1422
220	402	1417
221	402	1411
222	403	1406
223	404	1401
224	405	1395
225	405	1389
226	406	1384
227	407	1379
228	408	1374
229	408	1368
230	409	1363
231	410	1358
232	411	1353
233	411	1348
234	412	1343
235	413	1338
236	414	1333
237	415	1328
238	415	1324
239	416	1318
240	417	1314
241	417	1309
242	418	1304
243	419	1301
244	420	1296
245	421	1292
246	422	1288
247	423	1283
248	423	1278
249	424	1273
250	425	1269
251	426	1265
252	426	1260
253	427	1256
254	428	1251
255	429	1247
256	430	1243
257	431	1240
258	432	1236
259	432	1231
260	433	1227
261	434	1223
262	435	1219
263	436	1215
264	436	1211
265	437	1207
266	438	1203
267	439	1199
268	439	1195
269	441	1192
270	442	1189
271	442	1185
272	443	1181
273	444	1177
274	445	1173
275	445	1169
276	446	1166
277	447	1163
278	448	1159
279	449	1155
280	449	1151
281	450	1147
282	451	1144
283	452	1140
284	453	1137
285	454	1133
286	454	1130
287	455	1126
288	456	1123
289	457	1119
290	458	1115
291	458	1112
292	459	1109
293	460	1105
294	461	1102
295	462	1099
296	463	1096
297	464	1093
298	464	1089
299	465	1086
300	466	1082
301	466	1079
302	467	1075
303	468	1072
304	469	1070
305	470	1066
306	471	1063
307	471	1059
308	472	1056
309	473	1053
310	474	1050
311	475	1047
312	475	1044
313	476	1040
314	477	1037
315	477	1034
316	478	1031
317	479	1027
318	480	1025
319	481	1022
320	481	1019
321	482	1016
322	483	1012
323	483	1009
324	484	1007
325	485	1004
326	486	1001
327	487	999
328	488	996
329	489	993
330	489	990
331	490	987
332	491	984
333	492	981
334	492	978
335	494	976
336	494	973
337	495	970
338	496	968
339	497	965
340	498	962
341	498	959
342	499	957
343	500	954
344	501	951
345	502	950
346	503	947
347	504	944
348	504	941
349	505	938
350	506	936
351	507	934
352	508	931
353	509	929
354	510	926
355	510	923
356	511	921
357	512	919
358	513	917
359	514	914
360	515	911
361	515	908
362	516	906
363	517	903
364	518	902
365	519	899
366	520	896
367	520	894
368	521	891
369	522	889
370	522	886
371	523	884
372	524	882
373	525	879
374	526	876
375	526	874
376	527	871
377	528	869
378	529	867
379	530	865
380	530	862
381	531	860
382	532	857
383	533	855
384	533	852
385	534	850
386	535	848
387	536	845
388	537	843
389	537	841
390	538	838
391	539	836
392	540	834
393	541	832
394	542	830
395	542	828
396	543	825
397	544	823
398	545	821
399	546	819
400	547	817
401	547	814
402	548	812
403	549	810
404	550	808
405	550	806
406	551	803
407	552	801
408	553	799
409	553	797
410	554	794
411	555	792
412	556	790
413	557	788
414	557	786
415	558	784
416	559	781
417	559	779
418	560	777
419	561	775
420	562	773
421	563	771
422	563	769
423	564	767
424	565	764
425	566	762
426	566	760
427	567	758
428	568	756
429	569	754
430	569	752
431	570	750
432	571	748
433	572	746
434	573	744
435	573	742
436	574	740
437	575	738
438	575	735
439	576	733
440	577	731
441	578	730
442	579	728
443	579	726
444	580	724
445	581	722
446	582	720
447	582	718
448	583	716
449	584	714
450	585	712
451	585	710
452	586	708
453	587	706
454	588	704
455	588	702
456	589	700
457	590	698
458	591	696
459	591	694
460	592	693
461	593	691
462	594	689
463	595	687
464	595	685
465	596	683
466	597	681
467	598	679
468	598	677
469	599	676
470	600	674
471	601	672
472	602	671
473	603	669
474	603	667
475	604	665
476	605	663
477	606	661
478	606	660
479	607	658
480	608	656
481	609	654
482	610	653
483	611	651
484	611	649
485	612	648
486	613	646
487	614	644
488	614	642
489	615	640
490	616	638
491	617	637
492	618	635
493	618	633
494	619	631
495	620	630
496	620	628
497	621	626
498	622	625
499	623	623
500	624	621
501	624	619
502	625	618
503	626	616
504	626	614
505	627	612
506	628	611
507	629	609
508	630	607
509	630	606
510	631	604
511	632	602
512	633	601
513	634	599
514	635	598
515	636	596
516	636	594
517	637	593
518	638	591
519	639	589
520	639	588
521	640	586
522	641	584
523	642	583
524	642	581
525	643	579
526	644	578
527	645	576
528	645	575
529	646	573
530	647	571
531	648	570
532	649	568
533	650	567
534	650	565
535	651	564
536	652	562
537	653	560
538	653	559
539	654	557
540	655	556
541	656	554
542	656	552
543	657	551
544	658	549
545	659	548
546	659	546
547	660	544
548	661	543
549	662	541
550	662	540
551	663	538
552	664	536
553	665	535
554	665	533
555	666	532
556	667	530
557	668	529
558	668	527
559	669	526
560	670	524
561	671	523
562	671	521
563	672	520
564	673	518
565	674	516
566	674	515
567	675	513
568	676	512
569	677	510
570	677	509
571	678	507
572	679	506
573	680	504
574	680	503
575	681	501
576	682	500
577	683	498
578	684	497
579	684	496
580	685	494
581	686	492
582	687	491
583	688	490
584	688	488
585	689	487
586	690	485
587	691	484
588	691	482
589	692	481
590	693	479
591	694	478
592	695	477
593	695	475
594	696	474
595	697	472
596	698	471
597	699	470
598	700	468
599	700	467
600	701	465
601	702	464
602	703	462
603	703	461
604	704	460
605	705	458
606	706	457
607	707	455
608	707	454
609	708	453
610	709	451
611	710	450
612	711	448
613	712	447
614	712	446
615	713	444
616	714	443
617	715	442
618	715	440
619	716	439
620	717	437
621	718	436
622	719	435
623	719	433
624	720	432
625	721	431
626	722	429
627	723	428
628	723	427
629	724	425
630	725	424
631	726	422
632	726	421
633	727	420
634	728	418
635	729	417
636	729	415
637	730	414
638	731	413
639	732	411
640	733	410
641	734	409
642	734	407
643	735	406
644	736	405
645	737	403
646	737	402
647	738	401
648	739	399
649	740	398
650	741	397
651	741	395
652	743	394
653	743	393
654	744	392
655	745	390
656	746	389
657	746	388
658	747	387
659	748	385
660	749	384
661	750	383
662	751	381
663	752	380
664	752	379
665	753	378
666	754	376
667	755	375
668	755	373
669	756	372
670	757	371
671	758	370
672	758	368
673	759	367
674	760	366
675	761	364
676	761	363
677	762	362
678	763	360
679	763	359
680	764	358
681	765	356
682	766	355
683	766	354
684	767	352
685	768	351
686	768	350
687	769	349
688	770	347
689	771	346
690	771	345
691	772	343
692	773	342
693	774	341
694	775	340
695	776	339
696	776	337
697	777	336
698	778	335
699	779	333
700	779	332
701	780	331
702	781	330
703	782	328
704	782	327
705	783	326
706	784	324
707	785	323
708	785	322
709	786	321
710	787	320
711	787	318
712	788	317
713	789	316
714	790	315
715	791	313
716	792	312
717	792	311
718	793	310
719	794	308
720	795	307
721	795	306
722	796	305
723	797	303
724	798	302
725	798	301
726	799	300
727	800	299
728	801	297
729	802	296
730	802	295
731	803	294
732	804	292
733	804	291
734	805	290
735	806	289
736	807	288
737	807	286
738	808	285
739	809	284
740	809	283
741	810	281
742	811	280
743	812	279
744	812	278
745	813	276
746	814	275
747	814	274
748	815	273
749	816	272
750	816	270
751	817	269
752	818	268
753	819	267
754	819	266
755	820	264
756	821	263
757	821	262
758	822	261
759	823	260
760	824	258
761	825	257
762	825	256
763	826	255
764	827	254
765	827	252
766	828	251
767	829	250
768	830	249
769	830	248
770	831	247
771	832	245
772	833	244
773	833	243
774	834	242
775	835	241
776	835	239
777	836	238
778	837	237
779	838	236
780	838	235
781	839	234
782	840	232
783	840	231
784	841	230
785	842	229
786	843	228
787	843	227
788	844	225
789	845	224
790	846	223
791	846	222
792	847	221
793	848	220
794	848	218
795	849	217
796	850	216
797	851	215
798	851	214
799	852	213
800	853	212
801	854	210
802	854	209
803	855	208
804	856	207
805	856	206
806	857	205
807	858	203
808	859	202
809	859	201
810	860	200
811	861	199
812	862	198
813	863	197
814	863	196
815	864	194
816	865	193
817	866	192
818	866	191
819	867	190
820	868	189
821	869	188
822	869	187
823	870	185
824	871	184
825	872	183
826	872	182
827	873	181
828	874	180
829	875	179
830	876	178
831	877	177
832	877	175
833	878	174
834	879	173
835	880	172
836	881	171
837	881	170
838	882	169
839	883	168
840	884	167
841	885	166
842	885	165
843	886	163
844	887	162
845	888	161
846	888	160
847	889	159
848	890	158
849	891	157
850	892	156
851	892	155
852	893	154
853	894	152
854	895	151
855	896	150
856	896	149
857	897	148
858	898	147
859	898	146
860	899	145
861	900	144
862	901	143
863	901	141
864	902	140
865	903	139
866	903	138
867	904	137
868	905	136
869	905	135
870	906	134
871	907	133
872	907	132
873	908	130
874	909	129
875	910	128
876	910	127
877	911	126
878	912	125
879	913	124
880	913	123
881	914	122
882	915	121
883	916	120
884	916	119
885	917	118
886	918	116
887	919	115
888	919	114
889	920	113
890	921	112
891	921	111
892	922	110
893	923	109
894	924	108
895	924	107
896	925	106
897	926	105
898	927	104
899	927	103
900	928	102
901	929	100
902	930	99
903	930	98
904	931	97
905	932	96
906	933	95
907	933	94
908	934	93
909	935	92
910	935	91
911	936	90
912	937	89
913	938	88
914	938	87
915	939	86
916	940	85
917	941	84
918	941	83
919	942	81
920	943	80
921	944	79
922	944	78
923	945	77
924	946	76
925	947	75
926	947	74
927	948	73
928	949	72
929	950	71
930	951	70
931	951	69
932	952	68
933	953	67
934	954	66
935	954	65
936	955	64
937	956	63
938	956	62
939	957	61
940	958	60
941	959	59
942	959	58
943	960	56
944	961	55
945	962	54
946	962	53
947	963	52
948	964	51
949	965	50
950	966	49
951	966	48
952	967	47
953	968	46
954	969	45
955	969	44
956	970	43
957	971	42
958	971	41
959	972	40
960	973	39
961	974	38
962	974	37
963	975	36
964	976	35
965	977	34
966	977	33
967	978	32
968	979	31
969	980	30
970	980	29
971	981	28
972	982	27
973	983	26
974	984	25
975	984	24
976	985	23
977	986	22
978	986	21
979	987	20
980	988	19
981	989	18
982	990	17
983	990	16
984	991	15
985	992	14
986	993	13
987	994	12
988	995	11
989	995	10
990	996	9
991	997	8
992	998	7
993	998	6
994	999	5
995	1000	4
996	1001	3
997	1001	2
998	1002	1
999	1003	0
